"date","close","volume","open","high","low"

"2018/08/24","257.8500","3631468.0000","257.2400","258.1800","256.9900"
"2018/08/23","256.4900","2811921.0000","256.8000","257.5600","255.9800"
"2018/08/22","257.1800","3847599.0000","258.0000","258.2000","257.0500"
"2018/08/21","258.0700","3275937.0000","257.9300","258.7000","257.7600"
"2018/08/20","257.4300","2929193.0000","257.1100","257.7200","256.9700"
"2018/08/17","256.5100","3901542.0000","255.2300","257.1200","255.0300"
"2018/08/16","255.9400","7912686.0000","254.3700","256.4100","254.2800"
"2018/08/15","251.7600","5803391.0000","251.8400","252.2000","249.8600"
"2018/08/14","253.2100","2815824.0000","252.7600","253.5532","252.2292"
"2018/08/13","252.0400","3686243.0000","253.5700","253.9600","251.7000"
"2018/08/10","253.3000","4796840.0000","253.6800","253.9000","252.4000"
"2018/08/09","255.1600","1676004.0000","255.7600","256.2300","255.0000"
"2018/08/08","255.6200","1876774.0000","255.9700","256.1210","255.3800"
"2018/08/07","256.1200","2392545.0000","255.9800","256.7600","255.6500"
"2018/08/06","254.8500","2303672.0000","254.2200","255.2400","253.6300"
"2018/08/03","254.3900","2469137.0000","253.0400","254.5000","253.0400"
"2018/08/02","253.1000","4130049.0000","251.4500","253.4100","251.0300"
"2018/08/01","253.1100","3157858.0000","253.9000","254.6400","252.5610"
"2018/07/31","254.1700","3727777.0000","253.6900","254.6800","253.6000"
"2018/07/30","252.8700","4484110.0000","254.5300","254.7900","252.6700"
"2018/07/27","254.2600","5852912.0000","255.1100","255.6000","253.4800"
"2018/07/26","255.1200","4149896.0000","254.5200","255.6800","254.4500"
"2018/07/25","254.0200","4678975.0000","251.5700","254.1600","250.9300"
"2018/07/24","252.2100","5484458.0000","251.2600","252.6600","251.0600"
"2018/07/23","250.2600","1786882.0000","250.2100","250.6000","249.6200"
"2018/07/20","250.4400","2679839.0000","249.8200","251.0400","249.6800"
"2018/07/19","250.7900","2536393.0000","251.2200","251.6200","250.6100"
"2018/07/18","252.0300","2112059.0000","251.3900","252.1650","251.0200"
"2018/07/17","251.2800","2956276.0000","250.5500","251.5700","249.9000"
"2018/07/16","250.6700","1867543.0000","250.3900","250.7500","249.8300"
"2018/07/13","250.2000","3018141.0000","249.2400","250.4600","248.9300"
"2018/07/12","249.3000","3165529.0000","249.0700","249.4400","248.1700"
"2018/07/11","247.0800","4407260.0000","247.3400","248.1600","246.6400"
"2018/07/10","249.2300","3454227.0000","248.5200","249.4800","248.4483"
"2018/07/09","247.8400","3667644.0000","245.7800","248.0000","245.7600"
"2018/07/06","244.6000","3546010.0000","243.3100","245.2000","242.8100"
"2018/07/05","243.5500","3289777.0000","243.1300","243.6700","241.6900"
"2018/07/03","241.6600","3143826.0000","244.0600","244.3000","241.3500"
"2018/07/02","242.7300","5699187.0000","240.9200","243.0400","240.6200"
"2018/06/29","242.7300","3954285.0000","243.4800","244.9600","242.5900"
"2018/06/28","242.0800","5518647.0000","240.4700","242.9600","239.8300"
"2018/06/27","241.1200","6142697.0000","243.2700","245.5800","241.0100"
"2018/06/26","242.6700","3831651.0000","242.9200","243.6900","242.2720"
"2018/06/25","242.3100","9532205.0000","244.1800","244.4000","240.7000"
"2018/06/22","245.6900","3646348.0000","245.9200","246.5100","245.4400"
"2018/06/21","244.5000","4670237.0000","245.8300","245.9400","243.9300"
"2018/06/20","246.4600","4696699.0000","247.9600","247.9800","246.1200"
"2018/06/19","246.8800","5506678.0000","246.6000","247.2300","245.5300"
"2018/06/18","249.7300","4072622.0000","248.8000","249.9000","248.1400"
"2018/06/15","250.7400","6340427.0000","250.2700","251.1950","248.7700"
"2018/06/14","251.9900","4990635.0000","253.1600","253.5150","251.5400"
"2018/06/13","252.1800","3806114.0000","253.4200","253.7516","252.0300"
"2018/06/12","253.3000","6524371.0000","253.7400","253.7700","252.5600"
"2018/06/11","253.3900","4198772.0000","253.6200","254.1590","253.0200"
"2018/06/08","253.2700","4450600.0000","251.9600","253.4100","251.7670"
"2018/06/07","252.5300","4284315.0000","252.2200","253.3700","251.7400"
"2018/06/06","251.5200","4098167.0000","249.2400","251.5300","248.5500"
"2018/06/05","248.1500","2815256.0000","248.1600","248.4765","247.1600"
"2018/06/04","248.2000","3041181.0000","247.7200","248.6700","247.5400"
"2018/06/01","246.3600","3564871.0000","246.1400","246.8300","245.6500"
"2018/05/31","244.1800","5346116.0000","246.0000","246.0200","243.5100"
"2018/05/30","246.7000","4164226.0000","245.1700","247.1600","244.5800"
"2018/05/29","243.4500","6428602.0000","245.3800","246.2100","242.3100"
"2018/05/25","247.3700","4204595.0000","247.4100","248.1000","246.7100"
"2018/05/24","247.9100","3447395.0000","248.1300","248.4300","245.8500"
